trace_num,replacement,access,hit,miss
024,lfu,8887934,5712763,3175171
028,lru,9499600,6391066,3108534
028,fifo,9510445,6342098,3168347
021,lru,7064882,5646765,1418117
028,drrip,9508226,6381377,3126849
024,bip,8924217,6248682,2675535
028,bip,9508226,6381377,3126849
022,drrip,7086433,5681102,1405331
022,fifo,7039149,5541408,1497741
026,lru,9239084,6363607,2875477
021,fifo,7035825,5552629,1483196
021,lfu,7144892,5692880,1452012
022,belady,7112010,5521653,1590357
026,drrip,9247963,6352019,2895944
024,lru,8917778,6260612,2657166
021,belady,7140949,5685108,1455841
026,bip,9247963,6352019,2895944
028,lfu,9537665,5895583,3642082
021,drrip,7078570,5690738,1387832
022,lru,7077302,5643336,1433966
022,bip,7086433,5681102,1405331
026,fifo,9238699,6300356,2938343
026,lfu,9219883,5774960,3444923
021,bip,7078570,5690738,1387832
024,belady,8864597,5712141,3152456
026,belady,9238069,5774524,3463545
022,lfu,7142711,5555893,1586818
024,fifo,8914585,6195589,2718996
028,belady,9516208,5881454,3634754
024,drrip,8924217,6248682,2675535
